Market,Dma,Females,Males,Population,F0-5,F5-9,F10-17,F18+,F18-34,F18-49,F35-49,F50-64,F65+,M0-5,M5-9,M10-17,M18+,M18-34,M18-49,M35-49,M50-64,M65+,P0-5,P5-9,P10-17,P18+,P18-34,P18-49,P35-49,P50-64,P65+
556,Richmond-Petersburg,1679421.0,1625613.0,3305034.0,91483.0,95371.0,161503.0,1331064.0,370358.0,700471.0,330113.0,339803.0,290790.0,97074.0,100162.0,167476.0,1260901.0,380597.0,709483.0,328886.0,318286.0,233132.0,188557.0,195533.0,328979.0,2591965.0,750955.0,1409954.0,658999.0,658089.0,523922.0
557,Knoxville,1113501.0,1073493.0,2186994.0,59877.0,60071.0,103290.0,890263.0,239370.0,442133.0,202763.0,229385.0,218745.0,63653.0,64274.0,108827.0,836739.0,245402.0,445567.0,200165.0,213875.0,177297.0,123530.0,124345.0,212117.0,1727002.0,484772.0,887700.0,402928.0,443260.0,396042.0
558,Lima,90883.0,91470.0,182353.0,5511.0,5510.0,10162.0,69700.0,17586.0,33193.0,15607.0,18558.0,17949.0,5840.0,6263.0,10150.0,69217.0,20011.0,36389.0,16378.0,18401.0,14427.0,11351.0,11773.0,20312.0,138917.0,37597.0,69582.0,31985.0,36959.0,32376.0
559,Bluefield-Beckley-Oak Hill,1065936.0,1041437.0,2107373.0,54163.0,58076.0,95240.0,858457.0,208105.0,400979.0,192874.0,224473.0,233005.0,57189.0,59298.0,101528.0,823422.0,220468.0,415814.0,195346.0,214430.0,193178.0,111352.0,117374.0,196768.0,1681879.0,428573.0,816793.0,388220.0,438903.0,426183.0
560,Raleigh-Durham (Fayetvlle),1677281.0,1586238.0,3263519.0,99078.0,100799.0,171453.0,1305951.0,386534.0,719197.0,332663.0,319620.0,267134.0,103468.0,104497.0,176968.0,1201305.0,391845.0,706916.0,315071.0,291027.0,203362.0,202546.0,205296.0,348421.0,2507256.0,778379.0,1426113.0,647734.0,610647.0,470496.0
561,Jacksonville,1736836.0,1687372.0,3424208.0,93884.0,92738.0,159875.0,1390339.0,343857.0,648654.0,304797.0,363542.0,378143.0,96670.0,99083.0,164704.0,1326915.0,371192.0,675687.0,304495.0,334031.0,317197.0,190554.0,191821.0,324579.0,2717254.0,715049.0,1324341.0,609292.0,697573.0,695340.0
563,Grand Rapids-Kalmzoo-B.Crk,1485135.0,1466945.0,2952080.0,85476.0,89619.0,147085.0,1162955.0,344414.0,603803.0,259389.0,296770.0,262382.0,89217.0,92943.0,156864.0,1127921.0,358606.0,621116.0,262510.0,287817.0,218988.0,174693.0,182562.0,303949.0,2290876.0,703020.0,1224919.0,521899.0,584587.0,481370.0
564,Charleston-Huntington,563157.0,544693.0,1107850.0,29808.0,31298.0,52721.0,449330.0,106501.0,210040.0,103539.0,120523.0,118767.0,31468.0,33206.0,56743.0,423276.0,112033.0,214192.0,102159.0,112800.0,96284.0,61276.0,64504.0,109464.0,872606.0,218534.0,424232.0,205698.0,233323.0,215051.0
565,Elmira (Corning),119830.0,118732.0,238562.0,6294.0,6107.0,12126.0,95303.0,22688.0,43298.0,20610.0,26442.0,25563.0,6675.0,7044.0,11964.0,93049.0,24397.0,45405.0,21008.0,26000.0,21644.0,12969.0,13151.0,24090.0,188352.0,47085.0,88703.0,41618.0,52442.0,47207.0
566,Harrisburg-Lncstr-Leb-York,1034212.0,999984.0,2034196.0,58857.0,61167.0,100706.0,813482.0,212454.0,395996.0,183542.0,211381.0,206105.0,62209.0,61882.0,108080.0,767813.0,217712.0,399866.0,182154.0,202860.0,165087.0,121066.0,123049.0,208786.0,1581295.0,430166.0,795862.0,365696.0,414241.0,371192.0
