Market,Permanent households or heads,Residents in permanent households,Average residents per household,Variance of residents per household,"Average monthly income (heads, all)","Variance of income (heads, all)","Average monthly income (heads, with income)","Variance of income (heads, with income)","Average monthly income (ages 10+, all)","Variance of income (ages 10+, all)","Average monthly income (ages 10+, with income)","Variance of income (ages 10+, with income)",Municipality
2311306,22124,80251,3.743037974683544,4.19626582278481,670.5796835443037,4802899.431582279,745.483670886076,5065845.415253164,368.00468354430376,1827750.2909493672,611.6863291139241,2582762.2287974684,Ceará QUIXADÁ
2311355,4652,14978,3.232,2.2670000000000003,377.6303333333333,260293.316,443.9173333333334,279249.8196666667,241.528,153049.633,383.1323333333333,183526.719,Ceará QUIXELÔ
2311405,20476,71585,3.548403361344538,3.239327731092437,479.1000840336135,955577.0008403362,564.2263865546219,993794.0557983192,299.05890756302523,530788.0612605042,498.0158823529411,700048.5824369749,Ceará QUIXERAMOBIM
2311504,5877,19371,3.3389473684210524,2.7839473684210527,469.62000000000006,237788.2060526316,536.3613157894737,233959.5289473684,281.1971052631579,167179.18631578947,476.6681578947369,186779.9334210526,Ceará QUIXERÉ
2311603,7392,26340,3.5685714285714285,3.2161904761904765,505.8461904761905,566410.4442857143,567.8961904761904,576315.7926190476,289.49333333333334,310236.1292857143,486.4707142857143,390569.41071428574,Ceará REDENÇÃO
2311702,5581,19437,3.512,3.1405000000000003,428.80175,972971.8745000002,563.39725,1033669.8255,261.47,480321.97075,460.4955,614387.2440000001,Ceará RERIUTABA
2311801,20411,69705,3.440194174757281,2.9433009708737865,622.7328155339807,1001733.7842718448,683.9490291262136,1047648.1083495144,379.2022330097088,520143.1865048544,584.5693203883495,655192.4013592233,Ceará RUSSAS
2311900,4507,15746,3.483571428571428,2.959642857142857,376.0932142857143,324182.34857142856,486.3850000000001,340490.2639285714,232.86678571428573,200563.6375,402.11,262570.96214285714,Ceará SABOEIRO
2311959,3930,15437,3.892142857142858,3.594642857142857,336.89214285714286,160350.89714285714,392.645,164771.29214285713,207.86964285714288,100323.87285714284,337.7610714285714,121035.3175,Ceará SALITRE
2312205,11841,42712,3.6782758620689657,3.122413793103448,356.9545977011494,319695.8610344828,454.8027586206896,337064.5266666667,216.58333333333337,180220.11252873568,385.9781609195402,226777.9921839081,Ceará SANTA QUITÉRIA
2312007,7518,29898,3.974375,3.891875,367.71333333333337,366339.2014583333,517.5389583333333,400005.02729166666,209.6727083333333,340108.645,439.9402083333334,491192.37270833337,Ceará SANTANA DO ACARAÚ
2312106,4510,17138,3.824736842105263,4.002631578947368,376.7036842105263,447369.8871052632,454.9452631578947,474411.482368421,217.39947368421053,219842.9552631579,385.2744736842105,297478.6307894737,Ceará SANTANA DO CARIRI
2312700,7953,26433,3.3885714285714283,2.88265306122449,479.0202040816327,469154.6569387755,569.630612244898,483331.9504081633,299.50551020408165,311686.47775510204,490.6763265306122,377388.08367346943,Ceará SENADOR POMPEU
2312809,1824,6843,3.847142857142857,4.032857142857143,367.0021428571428,220464.16214285715,459.905,249511.18571428573,218.32,128709.49714285714,378.6435714285714,162043.55357142858,Ceará SENADOR SÁ
2312908,50520,187372,3.722092050209205,3.143305439330544,734.3247698744769,2001733.1443514645,851.9756066945607,2189212.479414226,414.0859414225941,1038257.07832636,699.8488284518828,1408422.4182426778,Ceará SOBRAL
2313005,5292,17601,3.3530555555555552,2.537777777777778,435.8308333333333,332357.7325,505.41,344859.7272222222,276.2875,238528.6205555556,448.8952777777778,295829.14694444445,Ceará SOLONÓPOLE
2312304,12101,44118,3.6422413793103448,2.9891379310344828,523.6101724137931,1641102.4687931037,600.1198275862068,1922132.2294827583,304.11310344827587,730450.4427586207,498.53517241379313,1079280.0929310345,Ceará SÃO BENEDITO
2312403,12009,43775,3.6084375,3.128125,505.43484375,737346.190625,609.22625,823212.47640625,299.90625,381470.54328125,527.05921875,562814.91484375,Ceará SÃO GONÇALO DO AMARANTE
2312502,2578,7887,3.07625,2.1529166666666666,495.7183333333333,415856.7504166667,552.5625,423624.8591666666,323.95708333333334,262496.01625,476.07625,297732.68916666665,Ceará SÃO JOÃO DO JAGUARIBE
