,DMA Code,DMA Name,universe,only_english,total_spanish,spanish_and_english_very_well,spanish_and_english_less_than_very_well,total_french_haitan_or_cajun,french_haitan_or_cajun_and_english_very_well,french_haitan_or_cajun_and_english_less_than_very_well,total_german_or_other_west_germanic,german_or_other_west_germanic_and_english_very_well,german_or_other_west_germanic_and_english_less_than_very_well,total_russian_polish_or_other_slavic,russian_polish_or_other_slavic_and_english_very_well,russian_polish_or_other_slavic_and_english_less_than_very_well,total_other_indo_european,other_indo_european_and_english_very_well,other_indo_european_and_english_less_than_very_well,total_korean,korean_and_english_very_well,korean_and_english_less_than_very_well,total_chinese,chinese_and_english_very_well,chinese_and_english_less_than_very_well,total_tagalog,tagalog_and_english_very_well,tagalog_and_english_less_than_very_well,total_other_asian,other_asian_and_english_very_well,other_asian_and_english_less_than_very_well,total_arabic,arabic_and_english_very_well,arabic_and_english_less_than_very_well,total_other,other_and_english_very_well,other_and_english_less_than_very_well,total_english,total_english_less_than_very_well
165,745,Fairbanks,98591.0,87443.0,3211.0,2193.0,1018.0,581.0,581.0,0.0,812.0,812.0,0.0,1372.0,889.0,483.0,496.0,388.0,108.0,526.0,252.0,274.0,337.0,128.0,209.0,759.0,516.0,243.0,1121.0,758.0,363.0,36.0,36.0,0.0,1823.0,1607.0,216.0,95624.0,2967.0
166,746,Biloxi-Gulfport,336893.0,314710.0,12270.0,8240.0,4030.0,710.0,615.0,95.0,858.0,636.0,222.0,109.0,61.0,48.0,931.0,607.0,324.0,501.0,432.0,69.0,285.0,82.0,203.0,968.0,555.0,413.0,969.0,726.0,243.0,126.0,98.0,28.0,333.0,285.0,48.0,328849.0,8044.0
167,747,Juneau,31502.0,27737.0,1056.0,839.0,217.0,63.0,63.0,0.0,262.0,227.0,35.0,173.0,138.0,35.0,195.0,162.0,33.0,33.0,21.0,12.0,57.0,28.0,29.0,1315.0,627.0,688.0,234.0,97.0,137.0,0.0,0.0,0.0,326.0,287.0,39.0,30254.0,1248.0
168,749,Laredo,255900.0,24141.0,230249.0,141126.0,89123.0,10.0,10.0,0.0,96.0,96.0,0.0,2.0,0.0,2.0,449.0,258.0,191.0,123.0,80.0,43.0,36.0,29.0,7.0,366.0,340.0,26.0,150.0,60.0,90.0,31.0,31.0,0.0,27.0,27.0,0.0,166213.0,89687.0
169,751,Denver,4108419.0,3362717.0,519259.0,326656.0,192603.0,15015.0,12032.0,2983.0,19779.0,17621.0,2158.0,24217.0,15519.0,8698.0,38441.0,27838.0,10603.0,11382.0,5877.0,5505.0,22429.0,11331.0,11098.0,5505.0,3946.0,1559.0,32417.0,20629.0,11788.0,10031.0,6321.0,3710.0,28423.0,18266.0,10157.0,3837181.0,271238.0
170,752,Colorado Springs-Pueblo,906733.0,799733.0,73975.0,51070.0,22905.0,2393.0,1970.0,423.0,7120.0,6267.0,853.0,3060.0,2431.0,629.0,4039.0,3298.0,741.0,3372.0,1719.0,1653.0,1716.0,693.0,1023.0,2527.0,1621.0,906.0,4084.0,2606.0,1478.0,1027.0,514.0,513.0,2438.0,1706.0,732.0,874132.0,32601.0
171,753,Phoenix (Prescott),5009633.0,3765169.0,921205.0,602679.0,318526.0,13957.0,11070.0,2887.0,17172.0,15168.0,2004.0,20699.0,14647.0,6052.0,50965.0,38398.0,12567.0,7636.0,3857.0,3779.0,25667.0,12670.0,12997.0,20930.0,14950.0,5980.0,33506.0,23158.0,10348.0,20975.0,12677.0,8298.0,92300.0,69551.0,22749.0,4591950.0,417683.0
172,754,Butte-Bozeman,170233.0,163818.0,2980.0,2094.0,886.0,386.0,315.0,71.0,917.0,832.0,85.0,188.0,169.0,19.0,423.0,317.0,106.0,98.0,38.0,60.0,232.0,150.0,82.0,167.0,137.0,30.0,250.0,160.0,90.0,263.0,173.0,90.0,495.0,485.0,10.0,168700.0,1533.0
173,755,Great Falls,157205.0,151055.0,1568.0,1304.0,264.0,151.0,121.0,30.0,2334.0,1851.0,483.0,132.0,120.0,12.0,238.0,167.0,71.0,70.0,40.0,30.0,281.0,191.0,90.0,164.0,164.0,0.0,192.0,90.0,102.0,0.0,0.0,0.0,930.0,857.0,73.0,156016.0,1189.0
174,756,Billings,267252.0,253201.0,4839.0,3335.0,1504.0,483.0,427.0,56.0,1969.0,1743.0,226.0,223.0,98.0,125.0,645.0,452.0,193.0,60.0,9.0,51.0,349.0,224.0,125.0,227.0,172.0,55.0,263.0,234.0,29.0,129.0,63.0,66.0,4854.0,4430.0,424.0,264390.0,2862.0
