,DMA Code,DMA Name,total,0_10000,10000_14999,15000_19999,20000_24999,25000_29999,30000_34999,35000_39999,40000_49999,50000_59999,60000_69999,70000_79999,80000_89999,90000_99999,100000_124999,125000_149999,150000_174999,175000_199999,200000_249999,250000_299999,300000_399999,400000_499999,500000_749999,750000_999999,1000000_1499999,1500000_1999999,2000000_more
10,510,Cleveland-Akron (Canton),1054899.0,13509.0,7647.0,7087.0,7181.0,7274.0,9566.0,7520.0,21115.0,30534.0,37929.0,42869.0,52377.0,46428.0,123001.0,114122.0,116028.0,74542.0,112918.0,78957.0,78549.0,30341.0,23720.0,6240.0,3026.0,969.0,1450.0
11,511,"Washington, Dc (Hagrstwn)",2172237.0,17647.0,5031.0,4094.0,4880.0,4798.0,4515.0,3892.0,6508.0,8837.0,9065.0,10057.0,12420.0,9921.0,41031.0,43812.0,76617.0,73319.0,193672.0,223697.0,436518.0,314403.0,400753.0,155607.0,69825.0,20895.0,20423.0
12,512,Baltimore,1133920.0,7666.0,3319.0,3532.0,3916.0,3337.0,2927.0,2298.0,5582.0,5859.0,7881.0,8137.0,10750.0,9980.0,37547.0,41015.0,65735.0,63023.0,154783.0,146391.0,223777.0,132097.0,135599.0,34374.0,13496.0,4568.0,6331.0
13,513,Flint-Saginaw-Bay City,346528.0,9700.0,7093.0,5836.0,6322.0,5868.0,6987.0,4367.0,12829.0,14213.0,17048.0,18027.0,21166.0,16826.0,42394.0,32853.0,33901.0,20533.0,28056.0,16810.0,13993.0,4152.0,3816.0,1359.0,806.0,1031.0,542.0
14,514,Buffalo,2144852.0,20915.0,13453.0,13958.0,13725.0,13507.0,16372.0,14662.0,41786.0,53308.0,65679.0,74702.0,86033.0,76486.0,199466.0,173303.0,215515.0,150176.0,250332.0,183703.0,221743.0,104520.0,94810.0,26380.0,11547.0,3218.0,5553.0
15,515,Cincinnati,634349.0,7492.0,3644.0,3222.0,2442.0,2755.0,3022.0,2308.0,7149.0,9331.0,15123.0,19073.0,26433.0,22528.0,64069.0,66199.0,71014.0,49579.0,78266.0,56919.0,63400.0,26289.0,23031.0,6232.0,3130.0,948.0,751.0
16,516,Erie,112827.0,2574.0,1175.0,941.0,1041.0,949.0,1300.0,980.0,3140.0,3954.0,5129.0,5995.0,7153.0,6576.0,13673.0,11628.0,12477.0,7768.0,9798.0,6788.0,5622.0,1748.0,1407.0,548.0,343.0,35.0,85.0
17,517,Charlotte,845702.0,12290.0,6561.0,4962.0,3865.0,4945.0,5675.0,3621.0,10952.0,15680.0,17871.0,21402.0,28389.0,26126.0,68561.0,67002.0,80538.0,59153.0,98725.0,80688.0,100636.0,50669.0,45407.0,17370.0,8544.0,2985.0,3085.0
18,518,Greensboro-H.Point-W.Salem,483461.0,9396.0,4251.0,3933.0,3523.0,2448.0,3795.0,2834.0,7070.0,11421.0,12808.0,18724.0,22272.0,20332.0,56741.0,54425.0,57395.0,35035.0,49469.0,35319.0,36384.0,16032.0,13156.0,3670.0,1865.0,420.0,743.0
19,519,"Charleston, Sc",241482.0,4774.0,2907.0,2148.0,2184.0,1723.0,2415.0,1145.0,3637.0,3907.0,4217.0,4009.0,4499.0,4583.0,12078.0,12337.0,17334.0,15790.0,30110.0,24341.0,34096.0,16459.0,20128.0,7563.0,4144.0,2169.0,2785.0
20,520,Augusta-Aiken,1843040.0,38223.0,22416.0,18527.0,20798.0,21686.0,25281.0,15572.0,42161.0,51825.0,55011.0,63731.0,71172.0,58276.0,154247.0,150489.0,183440.0,127430.0,199379.0,154465.0,169293.0,76859.0,73724.0,23512.0,13050.0,5264.0,7209.0
