,DMA Code,DMA Name,universe,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,male_bachelors_or_higher,female_bachelors_or_higher,total_bachelors_or_higher
117,641,San Antonio,5652537.0,521781.0,204496.0,52075.0,34117.0,581820.0,232352.0,35877.0,24332.0,812469.0,874381.0,1686850.0
118,642,"Lafayette, La",403460.0,27188.0,6880.0,3078.0,1816.0,36169.0,12217.0,1869.0,1180.0,38962.0,51435.0,90397.0
119,643,Lake Charles,182467.0,10732.0,3085.0,1296.0,653.0,13852.0,6222.0,701.0,498.0,15766.0,21273.0,37039.0
120,644,"Alexandria, La",160419.0,8134.0,2813.0,952.0,577.0,10877.0,4292.0,844.0,680.0,12476.0,16693.0,29169.0
121,647,Greenwood-Greenville,116706.0,5319.0,2378.0,925.0,636.0,8230.0,3909.0,787.0,285.0,9258.0,13211.0,22469.0
122,648,Champaign&Sprngfld-Decatur,634694.0,48849.0,20409.0,6366.0,6893.0,57175.0,29826.0,4966.0,4378.0,82517.0,96345.0,178862.0
123,649,Evansville,1234599.0,73370.0,27470.0,7873.0,4599.0,79502.0,47096.0,7098.0,3460.0,113312.0,137156.0,250468.0
124,650,Oklahoma City,2195427.0,196051.0,69162.0,24012.0,15534.0,221376.0,91406.0,17763.0,12499.0,304759.0,343044.0,647803.0
125,651,Lubbock,283959.0,21671.0,7687.0,2516.0,2706.0,25468.0,10120.0,1383.0,1863.0,34580.0,38834.0,73414.0
126,652,Omaha,761682.0,80912.0,27798.0,9002.0,4451.0,89422.0,36611.0,6530.0,4037.0,122163.0,136600.0,258763.0
127,656,Panama City,285126.0,18306.0,7762.0,2046.0,1293.0,21374.0,8348.0,1751.0,668.0,29407.0,32141.0,61548.0
128,657,Sherman-Ada,236152.0,13806.0,4871.0,1232.0,1242.0,17991.0,8011.0,815.0,552.0,21151.0,27369.0,48520.0
129,658,Green Bay-Appleton,3290305.0,315878.0,106540.0,34999.0,23743.0,363529.0,146013.0,24785.0,18646.0,481160.0,552973.0,1034133.0
130,659,Nashville,3241326.0,287481.0,98786.0,31337.0,22075.0,326659.0,148141.0,26730.0,19182.0,439679.0,520712.0,960391.0
131,661,San Angelo,1470229.0,97647.0,33273.0,9035.0,7487.0,117050.0,45193.0,5937.0,4850.0,147442.0,173030.0,320472.0
132,662,Abilene-Sweetwater,205492.0,13862.0,4914.0,1386.0,831.0,15984.0,5639.0,655.0,594.0,20993.0,22872.0,43865.0
133,669,Madison,684664.0,77896.0,27713.0,8767.0,9599.0,84016.0,38889.0,7129.0,7457.0,123975.0,137491.0,261466.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,577280.0,47867.0,19806.0,5693.0,2893.0,51907.0,20714.0,3753.0,2524.0,76259.0,78898.0,155157.0
135,671,Tulsa,1414136.0,106232.0,34564.0,11138.0,6997.0,122066.0,47347.0,7114.0,4508.0,158931.0,181035.0,339966.0
136,673,Columbus-Tupelo-West Point,325168.0,16525.0,6289.0,2441.0,2296.0,22940.0,12448.0,1746.0,1758.0,27551.0,38892.0,66443.0
137,675,Peoria-Bloomington,1190594.0,109162.0,41775.0,10972.0,6736.0,121069.0,54017.0,6524.0,5326.0,168645.0,186936.0,355581.0
138,676,Duluth-Superior,787745.0,72931.0,24234.0,7807.0,4840.0,83839.0,30955.0,5763.0,3784.0,109812.0,124341.0,234153.0
139,678,Wichita-Hutchinson Plus,2683689.0,259783.0,99763.0,28635.0,18127.0,289142.0,129715.0,19636.0,13148.0,406308.0,451641.0,857949.0
140,679,Des Moines-Ames,781091.0,82879.0,24461.0,8321.0,6144.0,92056.0,32075.0,5444.0,4723.0,121805.0,134298.0,256103.0
141,682,Davenport-R.Island-Moline,525238.0,38159.0,13382.0,4087.0,2202.0,44145.0,19401.0,2598.0,1601.0,57830.0,67745.0,125575.0
142,686,Mobile-Pensacola (Ft Walt),1020935.0,82345.0,31598.0,9369.0,5155.0,90407.0,41415.0,5587.0,4170.0,128467.0,141579.0,270046.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1019836.0,105465.0,28914.0,10705.0,6977.0,121492.0,38993.0,7885.0,5188.0,152061.0,173558.0,325619.0
144,691,Huntsville-Decatur (Flor),2293386.0,191551.0,71000.0,22279.0,17942.0,219208.0,103451.0,15943.0,11866.0,302772.0,350468.0,653240.0
145,692,Beaumont-Port Arthur,312698.0,16958.0,4541.0,1599.0,1024.0,21406.0,7403.0,890.0,873.0,24122.0,30572.0,54694.0
146,693,Little Rock-Pine Bluff,1005196.0,71584.0,24230.0,8600.0,5519.0,86008.0,41228.0,5703.0,4844.0,109933.0,137783.0,247716.0
147,698,Montgomery-Selma,420246.0,28155.0,11949.0,4000.0,2547.0,36337.0,20535.0,2507.0,1884.0,46651.0,61263.0,107914.0
148,702,La Crosse-Eau Claire,372673.0,29590.0,9689.0,3135.0,1953.0,36024.0,14567.0,2237.0,1663.0,44367.0,54491.0,98858.0
149,705,Wausau-Rhinelander,318209.0,23473.0,7085.0,3009.0,1579.0,28144.0,10886.0,1339.0,754.0,35146.0,41123.0,76269.0
150,709,Tyler-Longview(Lfkn&Ncgd),505568.0,33209.0,10894.0,3692.0,2407.0,40660.0,15259.0,2130.0,1512.0,50202.0,59561.0,109763.0
151,710,Hattiesburg-Laurel,195912.0,12138.0,4791.0,1569.0,831.0,15449.0,8528.0,1337.0,884.0,19329.0,26198.0,45527.0
152,711,Meridian,117546.0,5676.0,2086.0,425.0,429.0,6917.0,3936.0,682.0,272.0,8616.0,11807.0,20423.0
