,DMA Code,DMA Name,male_under_5,female_under_5,total_under_5,male_5_to_9,female_5_to_9,total_5_to_9,male_10_to_17,female_10_to_17,total_10_to_17,male_18_to_34,female_18_to_34,total_18_to_34,male_35_to_49,female_35_to_49,total_35_to_49,male_50_to_64,female_50_to_64,total_50_to_64,male_65_and_over,female_65_and_over,total_65_and_over
45,545,Greenville-N.Bern-Washngtn,25742.0,24753.0,50495.0,24945.0,23794.0,48739.0,39936.0,37775.0,77711.0,125850.0,98386.0,224236.0,66281.0,67887.0,134168.0,69009.0,77723.0,146732.0,59957.0,76059.0,136016.0
46,546,"Columbia, Sc",32802.0,31433.0,64235.0,34354.0,33231.0,67585.0,58832.0,56154.0,114986.0,138652.0,135500.0,274152.0,96833.0,105230.0,202063.0,101417.0,113996.0,215413.0,77413.0,100044.0,177457.0
47,547,Toledo,31536.0,30345.0,61881.0,33274.0,30546.0,63820.0,55218.0,53217.0,108435.0,120508.0,117145.0,237653.0,93006.0,94004.0,187010.0,104392.0,109134.0,213526.0,81212.0,102073.0,183285.0
48,548,West Palm Beach-Ft. Pierce,67397.0,62519.0,129916.0,69180.0,63783.0,132963.0,120391.0,115629.0,236020.0,260574.0,237206.0,497780.0,218716.0,218730.0,437446.0,270469.0,301906.0,572375.0,379808.0,428910.0,808718.0
49,549,Watertown,51872.0,49685.0,101557.0,53183.0,51053.0,104236.0,89314.0,84952.0,174266.0,229140.0,199167.0,428307.0,159997.0,156163.0,316160.0,183594.0,187910.0,371504.0,138703.0,167836.0,306539.0
50,550,Wilmington,12930.0,11696.0,24626.0,13449.0,13529.0,26978.0,22794.0,21554.0,44348.0,53633.0,54752.0,108385.0,45470.0,46715.0,92185.0,50862.0,58378.0,109240.0,51550.0,62198.0,113748.0
51,551,Lansing,19572.0,18599.0,38171.0,20448.0,18512.0,38960.0,32740.0,32127.0,64867.0,91590.0,88075.0,179665.0,59759.0,59223.0,118982.0,64771.0,68080.0,132851.0,49595.0,60400.0,109995.0
52,552,Presque Isle,1746.0,1567.0,3313.0,1688.0,1749.0,3437.0,3039.0,2591.0,5630.0,6072.0,5624.0,11696.0,5470.0,5681.0,11151.0,7929.0,8022.0,15951.0,7449.0,8804.0,16253.0
53,553,Marquette,4915.0,4855.0,9770.0,5588.0,4953.0,10541.0,9586.0,9029.0,18615.0,26041.0,21216.0,47257.0,17271.0,15827.0,33098.0,23081.0,22934.0,46015.0,22520.0,24505.0,47025.0
54,554,Wheeling-Steubenville,8288.0,7662.0,15950.0,8474.0,8181.0,16655.0,15239.0,14502.0,29741.0,32795.0,29512.0,62307.0,28485.0,27522.0,56007.0,35947.0,36027.0,71974.0,32651.0,39533.0,72184.0
