DMA Code,DMA Name,Universe,GDP,Median Household Income,Per Capita Income Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish Household,Owner Occupied,Default CPM
555,Syracuse,911319,18342366.04,61070.09991,32946.171,146375.9953,466718,280331,200587,10534,601268,9.82523487
556,Richmond-Petersburg,3305034,15102222.35,83703.06458,42370.96927,309513.7719,1689894,956374,927331,63394,2283222,10.43501419
557,Knoxville,2186994,12618843.17,52025.61199,29000.17218,160420.4242,1006866,612621,391162,26380,1488213,9.43407208
558,Lima,182353,5545349.106,58426.62864,29454.00978,133188.168,94405,54735,24115,1320,130684,8.99758416
559,Bluefield-Beckley-Oak Hill,2107373,1630461.826,47988.11626,26904.13788,126129.9599,929329,604053,311935,12309,1543206,7.56356505
560,Raleigh-Durham (Fayetvlle),3263519,39302118.61,64617.53965,34132.74252,218941.1502,1599059,935723,828628,91018,2085159,12.12060691
561,Jacksonville,3424208,44458894.57,57883.28575,31660.25212,197041.5447,1499842,961298,656756,90742,2328680,11.18022567
563,Grand Rapids-Kalmzoo-B.Crk,2952080,21010598.71,61409.86577,31367.47885,165373.9303,1461950,860501,586398,49962,2195521,9.77910251
564,Charleston-Huntington,1107850,3169754.382,44408.83351,25126.6965,107769.8097,465286,313470,142275,4046,808272,7.96745344
565,Elmira (Corning),238562,3452490.094,54430.88459,29713.97517,115712.3565,114689,71905,39529,1330,171066,12.19909603
566,Harrisburg-Lncstr-Leb-York,2034196,19038902.84,67226.65174,33669.67255,194184.1762,1046079,590061,385726,41412,1457970,12.62172215
567,Greenvll-Spart-Ashevll-And,12675779,13496311.28,57490.10407,31609.15257,191476.3576,6070440,3562175,2736444,300975,8396539,9.83943564
569,Harrisonburg,163860,6760570.447,63992.83715,31692.78761,214799.5069,80288,43664,28469,2245,122804,9.82224242
570,Myrtle Beach-Florence,803661,8774364.518,44671.75768,25003.80232,137095.4807,349355,199033,115394,10369,537653,9.25017457
571,Ft. Myers-Naples,6572873,28037066.47,58416.59253,33325.47446,272970.792,3090754,1755914,1515832,795799,4027273,11.86015393
573,Roanoke-Lynchburg,842148,3070047.408,55970.65027,30349.28609,170423.285,405658,235266,150839,7890,619770,9.53820448
574,Johnstown-Altoona-St Colge,741138,4616187.578,52912.02878,28502.87885,142080.6552,356031,216594,126352,3506,525184,9.21965299
575,Chattanooga,4182448,12459193.83,59396.12912,32785.79043,206752.021,2027781,1182129,902488,68457,2822723,9.81185656
576,Salisbury,443131,9261902.904,61875.69083,33957.83709,235736.3755,206446,124471,88261,7885,310277,9.03354616
577,Wilkes Barre-Scranton-Hztn,6010800,7557990.225,68457.56492,35695.2895,202254.1911,3059492,1797484,1289365,107608,4369138,10.35349026
581,Terre Haute,374522,2113737.338,51603.15561,26530.0333,102697.8212,177961,101829,46202,2339,260528,8.31742497
582,"Lafayette, In",201997,10203955.89,51957.42299,27610.42084,158231.198,101360,57306,43744,4347,110507,9.00384696
583,Alpena,38827,877869.2219,42800.60084,26305.48265,108594.9751,17266,12249,5377,218,31621,8.38975141
584,Charlottesville,205135,7214863.521,79040.11587,41720.41184,316625.9083,99010,60205,63544,2593,144137,11.34209379
588,South Bend-Elkhart,3103648,9995091.194,55781.8883,29590.73634,143735.2203,1548828,863648,538014,59619,2116836,10.19458574
592,Gainesville,344069,12154441.28,48209.43903,28125.6754,182075.1492,157233,95579,79443,8574,203114,9.99314446
596,Zanesville,86033,3851467,48350,26376,126400,40964,25067,10287,304,60663,9.42519849
597,Parkersburg,152061,3402981.117,50270.75088,29159.04562,131782.0631,70553,46763,21866,715,114168,9.45670096
598,Clarksburg-Weston,267899,1853977.125,47963.45696,26531.38624,115773.1895,120071,74475,36271,1350,197309,8.70623762
600,Corpus Christi,600532,11612261.78,53518.75821,26339.55003,-302121.1056,279601,149246,76295,98854,367830,9.777159
602,Chicago,12668009,279208136.8,73191.98111,37633.53245,229840.0167,6660557,3713517,3106664,586123,8694455,10.91351148
